"loss..1.63588","accuracy..0.51033"
"                                 loss: 1.65763","       accuracy: 0.50651"
"                                 loss: 1.68755","       accuracy: 0.50825"
"                                 loss: 1.73658","       accuracy: 0.48912"
"                                 loss: 1.67227","       accuracy: 0.50337"
"                                 loss: 1.65499","       accuracy: 0.50466"
"                                 loss: 1.66067","       accuracy: 0.50468"
"                                 loss: 1.90776","       accuracy: 0.45190"
"                                 loss: 1.70521","       accuracy: 0.49391"
"                                 loss: 1.89144","       accuracy: 0.47554"
"                                 loss: 1.72374","       accuracy: 0.48672"
"                                 loss: 1.73052","       accuracy: 0.48469"
"                                 loss: 2.18078","       accuracy: 0.43189"
"                                 loss: 2.08202","       accuracy: 0.48128"
"                                 loss: 2.41666","       accuracy: 0.37650"
"                                 loss: 2.15057","       accuracy: 0.41755"
"                                 loss: 2.21599","       accuracy: 0.40825"
"                                 loss: 2.34947","       accuracy: 0.39128"
"                                 loss: 2.06300","       accuracy: 0.43160"
"                                 loss: 2.14839","       accuracy: 0.42430"
"                                 loss: 2.06557","       accuracy: 0.43859"
"                                 loss: 2.27522","       accuracy: 0.41945"
"                                 loss: 2.08231","       accuracy: 0.43389"
"                                 loss: 2.08962","       accuracy: 0.42751"
"                                 loss: 2.29502","       accuracy: 0.39812"
"                                 loss: 2.18107","       accuracy: 0.42618"
"                                 loss: 2.61641","       accuracy: 0.35674"
"                                 loss: 7.11315","       accuracy: 0.14247"
"                                 loss: 2.63370","       accuracy: 0.35621"
"                                 loss: 2.54181","       accuracy: 0.38607"
"                                 loss: 3.34613","       accuracy: 0.26154"
"                                 loss: 2.78615","       accuracy: 0.34609"
"                                 loss: 2.05513","       accuracy: 0.48076"
"                                 loss: 1.95641","       accuracy: 0.44928"
"                                 loss: 2.20644","       accuracy: 0.41608"
"                                 loss: 2.48655","       accuracy: 0.38779"
"                                 loss: 2.27114","       accuracy: 0.40938"
"                                 loss: 3.05930","       accuracy: 0.27882"
"                                 loss: 2.01068","       accuracy: 0.44118"
"                                 loss: 3.52474","       accuracy: 0.25176"
"                                 loss: 2.03531","       accuracy: 0.43759"
"                                 loss: 2.15016","       accuracy: 0.42901"
"                                 loss: 2.20183","       accuracy: 0.42910"
"                                 loss: 6.21444","       accuracy: 0.16219"
"                                 loss: 2.12861","       accuracy: 0.43025"
"                                 loss: 2.27068","       accuracy: 0.49255"
"                                 loss: 2.02886","       accuracy: 0.45254"
"                                 loss: 2.05421","       accuracy: 0.43130"
"                                 loss: 2.58919","       accuracy: 0.35574"
"                                 loss: 2.04110","       accuracy: 0.43242"
"                                 loss: 2.07681","       accuracy: 0.42861"
"                                 loss: 6.20668","       accuracy: 0.16275"
"                                 loss: 2.80436","       accuracy: 0.33325"
"                                 loss: 2.49621","       accuracy: 0.38201"
"                                 loss: 2.56522","       accuracy: 0.37413"
"                                 loss: 2.09942","       accuracy: 0.43997"
"                                 loss: 2.13230","       accuracy: 0.43274"
